id;name;description;type;status;created_on;updated_on;updated_by;created_by
1;Home Automated;metrics Car Cotton;Table;Cliff;2022-04-01T01:22:06;2022-03-31T15:29:06;6th Luxembourg;database
2;Assurance Handmade Plastic;compressing;copy PCI;reboot;2022-04-01T01:00:34;2022-03-31T14:40:23;seamless Industrial;brand Village Samoa
3;Rustic Creative;COM program;Oklahoma Secured;morph Chicken;2022-03-31T15:43:05;2022-04-01T01:48:13;black Accounts;Regional
4;extend Analyst;back-end;Liaison;Solutions Ball Chips;2022-03-31T15:29:49;2022-03-31T17:31:43;platforms Shoes;Shoes UAE
5;IB Rubber;maximized;Soap Escudo Salad;visionary;2022-03-31T20:11:08;2022-03-31T15:46:01;deliverables Tasty mint;Renminbi heuristic
6;Lock Research;black invoice;Chicken Unbranded Shirt;Mouse Wooden;2022-03-31T17:13:44;2022-03-31T22:30:10;haptic;Solutions Facilitator Exclusive
7;Plastic open-source circuit;non-volatile Concrete Generic;drive;Gorgeous backing;2022-03-31T08:59:08;2022-04-01T00:11:19;gold;cross-platform Planner maroon
8;quantify;facilitate parsing;Home;Games Managed;2022-04-01T02:27:57;2022-03-31T19:18:31;maximize;tertiary Mouse
9;Investor;Ergonomic;Checking interface;monetize Incredible;2022-03-31T17:07:15;2022-04-01T00:04:03;indexing Rustic value-added;Stream
10;Nicaragua;Industrial Avenue Paradigm;eyeballs;calculate;2022-03-31T14:53:09;2022-04-01T04:38:04;visualize;Customer killer
