id;description;status;created_on;updated_on;updated_by;created_by
1;iterate copy Strategist;system-worthy;2022-04-07T22:23:10;2022-04-08T00:49:16;Chicken Aruba deliverables;Bedfordshire
2;Toys Direct Intranet;Dominica;2022-04-07T11:42:22;2022-04-07T17:07:48;Japan;Licensed transmitting transform
3;bluetooth;Pa'anga;2022-04-07T09:35:26;2022-04-08T00:55:44;Keyboard Computer Cheese;1080p digital Product
4;Fantastic connecting;invoice Wooden;2022-04-07T10:48:34;2022-04-07T10:58:53;payment Soft;withdrawal connect innovate
5;orchid Towels Producer;generation Frozen transform;2022-04-08T07:18:13;2022-04-08T03:14:04;convergence Mews generating;calculating SCSI
6;technologies bus Beauty;online deposit overriding;2022-04-07T10:56:02;2022-04-07T17:34:10;payment Multi-tiered Jewelery;Electronics
7;Kansas program Plastic;Lead payment;2022-04-07T16:50:27;2022-04-07T23:52:56;Incredible North;bandwidth payment Guinea-Bissau
8;connect HTTP Tuna;Dakota grey;2022-04-07T13:15:16;2022-04-07T18:20:17;methodical Squares;transmitter Minnesota Pants
9;Connecticut Handcrafted Cheese;Orchestrator Awesome Outdoors;2022-04-07T10:34:27;2022-04-08T03:19:49;Car Bedfordshire;Hat Georgia markets
10;e-business withdrawal;Practical Sports;2022-04-07T09:45:44;2022-04-08T05:44:51;Account Uzbekistan;tan even-keeled bypass
