id;description;billing_frequency;status;created_on;updated_on;updated_by;created_by
1;heuristic benchmark compress;Mouse Caledonia;Account;2022-04-07T10:25:18;2022-04-08T04:17:33;Ports;extend incubate
2;Virginia disintermediate;Parkways Facilitator;Cambridgeshire open-source;2022-04-07T15:59:40;2022-04-07T20:05:56;Bacon policy;Movies silver Cotton
3;toolset Upgradable;SCSI Generic;Gibraltar generating;2022-04-07T21:45:19;2022-04-07T09:29:59;Car;capability
4;Director intangible;back hardware Fish;protocol Avon USB;2022-04-07T19:16:40;2022-04-07T17:13:25;redundant blockchains;De-engineered cultivate generate
5;metrics tan Shoes;copy Rubber compressing;Wooden;2022-04-08T05:48:50;2022-04-08T06:11:39;maroon Music Iraq;Executive
6;interface;e-business Accountability Technician;Intelligent Avon;2022-04-07T21:59:09;2022-04-07T09:23:42;Future;Card Factors
7;invoice;New Islands;Pennsylvania Bacon Granite;2022-04-07T13:08:59;2022-04-07T11:17:17;hack Buckinghamshire Customer;Bulgaria Home
8;Peru;utilize Chair Fantastic;yellow Metal silver;2022-04-08T00:32:59;2022-04-07T13:16:34;national Specialist grey;upward-trending channels cross-platform
9;virtual Multi-layered;Dinar;Chair Granite;2022-04-08T05:02:48;2022-04-07T09:47:29;Manat Loan;Security
10;dynamic payment;Granite;Wooden;2022-04-07T10:11:43;2022-04-07T08:30:33;e-tailers schemas Configuration;Concrete Account
