id;name;description;type;status;created_on;updated_on;updated_by;created_by
1;Cotton Helena Jewelery;bypassing Louisiana Berkshire;Chicken Global Handmade;Industrial Outdoors;2022-04-07T17:03:55;2022-04-08T08:18:57;withdrawal edge encoding;Operations Salad methodologies
2;Georgia Keyboard;application sky Consultant;Small superstructure Cocos;Personal multi-byte Computer;2022-04-08T01:02:39;2022-04-07T13:03:56;connect online;invoice Fresh auxiliary
3;Bridge plum niches;info-mediaries;Frozen database;synthesize transmitting;2022-04-07T20:59:49;2022-04-07T10:56:28;Ball generation;Account
4;Cheese Mandatory;strategize Cambridgeshire;Seychelles Concrete Planner;Account;2022-04-07T17:02:17;2022-04-08T01:48:13;bleeding-edge Awesome;hour overriding eyeballs
5;Loan Coves;Incredible;Industrial payment Bedfordshire;cross-platform;2022-04-07T20:13:38;2022-04-08T07:14:18;Borders;Sleek Corporate
6;Dakota;Buckinghamshire Borders communities;unleash magenta aggregate;24/7 Legacy;2022-04-07T22:47:07;2022-04-07T12:46:40;program;compress
7;Games bluetooth;Concrete Tasty Grocery;open-source Street Borders;Mexican bus;2022-04-08T06:03:43;2022-04-07T17:11:24;Applications;integrate navigating
8;revolutionary interface Cross-platform;transmit actuating;e-enable viral;Savings;2022-04-07T11:19:59;2022-04-08T06:12:14;Fresh;feed
9;Poland Kuwait Coordinator;hack;Specialist;Computer;2022-04-07T20:19:44;2022-04-08T08:20:27;dynamic Pound Avon;attitude
10;Steel Moldova Lake;connecting embrace River;Union back-end;Engineer Books connect;2022-04-08T02:17:35;2022-04-07T09:41:45;utilize Incredible;Account Stand-alone
