id;period_from;period_to;due_date;amount;description;status;created_on;updated_on;updated_by;created_by
1;2022-04-08;2022-04-07;2022-04-07;7786;web-enabled Nevada;AGP Seamless;2022-04-08T00:49:14;2022-04-07T10:13:53;Bedfordshire Chair;Executive Niger object-oriented
2;2022-04-08;2022-04-07;2022-04-07;99607;Cambridgeshire Bike;Greece;2022-04-08T06:25:40;2022-04-07T12:23:49;Factors Investment;Dollar
3;2022-04-07;2022-04-08;2022-04-07;54224;Directives Fish Peru;morph;2022-04-08T01:40:28;2022-04-07T09:56:04;Applications Representative 1080p;Shirt SAS Account
4;2022-04-07;2022-04-08;2022-04-07;99587;project Island;synthesize Credit payment;2022-04-07T18:30:09;2022-04-07T11:56:46;ubiquitous;full-range robust
5;2022-04-07;2022-04-08;2022-04-07;92612;Dinar Savings local;Facilitator;2022-04-08T05:17:41;2022-04-07T12:43:02;Business-focused solid multi-state;reintermediate Bedfordshire
6;2022-04-07;2022-04-08;2022-04-07;69208;index flexibility Handmade;Representative Car connect;2022-04-07T22:05:23;2022-04-07T23:00:45;Outdoors;Hryvnia
7;2022-04-07;2022-04-08;2022-04-08;30047;withdrawal bandwidth;network;2022-04-07T22:43:32;2022-04-07T19:03:13;Metal Egyptian;deposit digital
8;2022-04-08;2022-04-08;2022-04-07;71664;Auto;networks;2022-04-07T10:42:35;2022-04-07T13:46:40;Uganda purple;rich program connect
9;2022-04-07;2022-04-07;2022-04-08;11900;Dirham Security cutting-edge;Health;2022-04-07T12:54:51;2022-04-08T02:52:56;deposit Turnpike Salad;transmitter
10;2022-04-07;2022-04-07;2022-04-07;73546;Pizza payment;overriding;2022-04-08T00:16:12;2022-04-07T13:41:42;Creative;Frozen Forks Bedfordshire
