id;name;description;org_id;status;created_on;updated_on;updated_by;created_by
1;Virtual;wireless bus Tools;56139;4th metrics;2022-03-31T23:34:58;2022-03-31T10:41:20;capability;Electronics Representative web-readiness
2;e-markets Awesome;France Specialist Avon;60480;Dominica;2022-03-31T22:23:43;2022-04-01T04:33:31;open-source Won;Granite Concrete Unbranded
3;distributed;Principal;61246;salmon Cotton withdrawal;2022-03-31T22:06:22;2022-04-01T02:06:13;Oregon;web-enabled 1080p Steel
4;azure;Licensed Borders Towels;17490;Faroe Orchestrator;2022-03-31T15:51:51;2022-03-31T11:47:14;model;Fish USB RAM
5;Berkshire quantifying Sausages;asymmetric;34562;Fundamental matrix Lithuania;2022-03-31T23:04:09;2022-04-01T05:41:17;Fresh salmon;streamline
6;program Rial;Shoes;66288;Shoes;2022-03-31T17:08:06;2022-03-31T20:34:25;payment;Ergonomic Regional neural
7;Tuna Customer Global;Pants Georgia;90463;bluetooth haptic;2022-03-31T18:36:38;2022-03-31T06:14:00;indigo Fresh;deposit
8;payment Costa;Nebraska navigate Product;80137;killer defect;2022-04-01T00:04:17;2022-03-31T08:07:38;client-server;Dakota
9;incubate;Savings Congo Account;13594;Solutions;2022-03-31T09:40:40;2022-03-31T12:01:27;virtual sensor Health;technologies bluetooth
10;TCP Pound;compelling;42569;Fantastic;2022-04-01T02:31:17;2022-04-01T03:04:00;optical feed salmon;Chair Integration lavender
