id;name;parent_id;status;created_on;updated_on;updated_by;created_by;view_json;view_json_content_type
1;Agent;1080p;Compatible clicks-and-mortar Paradigm;2022-04-01T02:58:51;2022-03-31T11:30:14;Auto Toys array;Managed compress;../fake-data/blob/hipster.png;image/png
2;Tools payment;Tasty;infrastructures Assimilated Michigan;2022-03-31T23:48:46;2022-04-01T02:24:37;Games withdrawal Pants;Bedfordshire deliverables;../fake-data/blob/hipster.png;image/png
3;Gloves interface;Integration;hard Arkansas;2022-03-31T21:17:23;2022-03-31T21:37:27;transmitter;Mississippi Granite strategize;../fake-data/blob/hipster.png;image/png
4;driver;Toys;morph;2022-03-31T06:30:38;2022-04-01T05:51:33;Station array invoice;Tools out-of-the-box embrace;../fake-data/blob/hipster.png;image/png
5;index Dynamic Computers;synthesizing Refined implement;Ohio channels;2022-04-01T03:01:34;2022-03-31T20:25:48;index microchip;open-source visualize;../fake-data/blob/hipster.png;image/png
6;auxiliary;partnerships driver SSL;Kina;2022-03-31T07:40:58;2022-04-01T03:27:49;firewall;application Dakota Steel;../fake-data/blob/hipster.png;image/png
7;open-source;Research circuit Soap;Automotive frictionless;2022-03-31T10:10:53;2022-03-31T19:29:03;Buckinghamshire HTTP;Shoes;../fake-data/blob/hipster.png;image/png
8;object-oriented Chief Polarised;paradigms Highway;invoice;2022-03-31T21:36:33;2022-03-31T08:46:50;Human evolve intelligence;Internal connect;../fake-data/blob/hipster.png;image/png
9;Berkshire Sausages Kids;Tactics payment global;THX niches;2022-03-31T14:27:41;2022-03-31T08:13:21;paradigm Frozen;redundant Phased;../fake-data/blob/hipster.png;image/png
10;sexy Drives;drive 1080p turquoise;teal;2022-04-01T03:31:51;2022-03-31T16:29:33;virtual Analyst;collaborative;../fake-data/blob/hipster.png;image/png
