id;period_from;period_to;due_date;amount;description;status;created_on;updated_on;updated_by;created_by
1;2022-04-07;2022-04-07;2022-04-08;36174;matrix;cyan;2022-04-07T18:08:43;2022-04-08T08:05:02;Concrete Gloves grow;SMTP Account
2;2022-04-07;2022-04-07;2022-04-07;24738;Berkshire Morocco;calculate Function-based;2022-04-08T00:19:59;2022-04-07T13:14:08;Plastic Oregon;payment Tuna
3;2022-04-07;2022-04-08;2022-04-07;37809;state Rupiah robust;Burgs ADP;2022-04-07T21:45:59;2022-04-07T17:53:31;platforms;open-source
4;2022-04-08;2022-04-08;2022-04-08;43619;Designer Creative circuit;Wooden;2022-04-08T01:53:30;2022-04-08T06:56:23;Path Producer;Generic Sausages payment
5;2022-04-08;2022-04-07;2022-04-07;86544;Pound B2B;Regional Pizza purple;2022-04-07T13:01:38;2022-04-08T06:38:10;Illinois SDR;Franc Business-focused Salad
6;2022-04-08;2022-04-07;2022-04-07;578;SMTP Crescent Loan;Chair;2022-04-07T21:52:23;2022-04-08T01:50:43;Arkansas;Generic Division
7;2022-04-07;2022-04-07;2022-04-08;51069;Corporate Fords mobile;disintermediate azure monitoring;2022-04-07T20:49:03;2022-04-08T05:25:44;visionary;Borders Stravenue
8;2022-04-08;2022-04-07;2022-04-07;15322;orchestrate parsing quantify;Rustic Computer navigate;2022-04-08T00:24:17;2022-04-07T15:12:47;CFA;neural Viaduct
9;2022-04-07;2022-04-07;2022-04-07;17719;Account analyzer Concrete;Nepal payment withdrawal;2022-04-07T23:43:32;2022-04-07T13:08:52;schemas;Buckinghamshire Tuna
10;2022-04-08;2022-04-07;2022-04-08;91262;encryption optical;optical;2022-04-07T17:12:22;2022-04-08T06:09:14;Self-enabling;Digitized users
